species,p,s,v
Chrysiptera talboti,2.71,1.276518007,0.397611445
Dascyllus reticulatus,2.71,1.378715705,0.474403034
Dascyllus trimaculatus,2.71,1.378715705,0.474403034
Abudefduf vaigiensis,2.71,1.378715705,0.474403034
Labroides dimidiatus,2.71,1.378715705,0.474403034
Pseudanthias squamipinnis,2.71,1.378715705,0.474403034
Neoglyphidodon nigroris,2.71,1.378715705,0.474403034
Pomacentrus amboinensis,2.57,1.276518007,0.510034977
Cirrhilabrus cyanopleura,2.57,1.319507911,0.534564098
Amblyglyphidodon curacao,2.71,1.489095325,0.566433482
Dascyllus melanurus,2.71,1.489095325,0.566433482
Siganus vulpinus,2.71,1.489095325,0.566433482
Chromis viridis,2.71,1.489095325,0.566433482
Stegastes fasciolatus,2.71,1.489095325,0.566433482
Dascyllus aruanus,2.71,1.489095325,0.566433482
Chrysiptera rex,2.71,1.489095325,0.566433482
Pseudanthias pleurotaenia,2.71,1.557715694,0.626641404
Acanthurus pyroferus,2.71,1.557715694,0.626641404
Cirrhilabrus lubbocki,2.57,1.469734492,0.635864736
Halichoeres chloropterus,2.57,1.489095325,0.650298167
Pomacentrus moluccensis,2.57,1.489095325,0.650298167
Neoglyphidodon melas,2.71,1.608311908,0.672068471
Amblyglyphidodon ternatensis,2.71,1.608311908,0.672068471
Halichoeres chrysus,2.57,1.533674687,0.684457552
Nemateleotris magnifica,2.57,1.533674687,0.684457552
Valenciennea wardii,2.71,1.629498222,0.691303598
Amphiprion perideraion,2.86,1.682426006,0.697218342
Amphiprion ocellaris,2.86,1.682426006,0.697218342
Chrysiptera cyanea,2.71,1.682426006,0.739822889
Ctenochaetus tominiensis,2.71,1.682426006,0.739822889
Signigobius biocellatus,2.71,1.682426006,0.739822889
Centropyge vrolikii,2.71,1.682426006,0.739822889
Rhinecanthus verrucosus,2.57,1.608311908,0.744121527
Paracheilinus filamentosus,2.57,1.629498222,0.76153889
Amphiprion polymnus,2.86,1.759955424,0.773266067
Halichoeres melanurus,2.57,1.64375183,0.773362714
Valenciennea strigata,2.57,1.64375183,0.773362714
Macropharyngodon meleagris,2.57,1.64375183,0.773362714
Oxycirrhites typus,2.57,1.691726385,0.813731443
Cryptocentrus leptocephalus,2.57,1.691726385,0.813731443
Synchiropus ocellatus,2.57,1.691726385,0.813731443
Paracheilinus carpenteri,2.57,1.711769859,0.830836808
Synchiropus splendidus,2.57,1.741101127,0.856098329
Canthigaster valentini,2.43,1.64375183,0.860782801
Zebrasoma scopas,2.43,1.647681622,0.863725706
Chelmon rostratus,2.71,1.817120593,0.865631975
Apolemichthys trimaculatus,2.71,1.817120593,0.865631975
Chaetodontoplus caeruleopunctatus,2.57,1.759955424,0.87247104
Ecsenius stigmatura,2.43,1.67332822,0.883120322
Neoglyphidodon oxyodon,2.71,1.841057547,0.888262602
Pictichromis porphyrea,2.57,1.782602458,0.892266819
Stonogobiops xanthorhinica,2.57,1.782602458,0.892266819
Pseudocheilinus hexataenia,2.43,1.691341731,0.896930322
Sphaeramia nematoptera,2.43,1.691341731,0.896930322
Chrysiptera parasema,2.43,1.691341731,0.896930322
Ptereleotris evides,2.43,1.691341731,0.896930322
Pholidichthys leucotaenia,2.29,1.588053032,0.925208328
Odonus niger,2.29,1.588053032,0.925208328
Ostorhinchus cyanosoma,2.29,1.597137753,0.931008903
Centropyge bicolor,2.57,1.834629509,0.93823232
Centropyge bispinosa,2.57,1.834629509,0.93823232
Amphiprion biaculeatus,2.57,1.834629509,0.93823232
Pictichromis diadema,2.57,1.834629509,0.93823232
Xanthichthys auromarginatus,2.57,1.834629509,0.93823232
Pomacentrus chrysurus,2.43,1.754848629,0.946745513
Naso lituratus,2.43,1.754848629,0.946745513
Zebrasoma velifer,2.43,1.754848629,0.946745513
Pomacentrus simsiang,2.43,1.76172959,0.952240821
Pterois volitans,2.29,1.647681622,0.964207221
Gobiodon okinawae,2.57,1.900856996,0.997605532
Valenciennea puellaris,2.43,1.8207401,1.000072459
Pomacanthus imperator,2.43,1.8207401,1.000072459
Acanthurus japonicus,2.71,1.962598793,1.004106115
Centropyge heraldi,2.57,1.910546009,1.006363505
Rhinecanthus aculeatus,2.29,1.711769859,1.008375136
Cryptocentrus cinctus,2.29,1.736158742,1.025735724
Forcipiger flavissimus,2.29,1.754848629,1.039230742
Heniochus acuminatus,2.29,1.754848629,1.039230742
Coris gaimard,2.14,1.588053032,1.039471138
Novaculichthys taeniourus,2.14,1.588053032,1.039471138
Salarias fasciatus,2.43,1.868985896,1.040032259
Amphiprion frenatus,2.43,1.868985896,1.040032259
Salarias ramosus,2.43,1.868985896,1.040032259
Nemateleotris decora,2.29,1.8207401,1.088034187
Dendrochirus zebra,2.29,1.8207401,1.088034187
Chaetodon punctatofasciatus,2.29,1.834629509,1.09854927
Chaetodon xanthurus,2.29,1.834629509,1.09854927
Chaetodon kleinii,2.29,1.834629509,1.09854927
Acanthochromis polyacanthus,2.00,1.49107208,1.11406992
Chaetodon lunula,2.14,1.711769859,1.114141019
Chaetodon auriga,2.14,1.711769859,1.114141019
Dendrochirus brachypterus,2.14,1.711769859,1.114141019
Centropyge ferrugata,2.57,2.047672511,1.131941324
Gobiodon histrio,2.57,2.047672511,1.131941324
Amphiprion percula,2.57,2.047672511,1.131941324
Plectorhinchus chaetodonoides,2.00,1.80134844,1.281467644
Ptereleotris zebra,1.86,1.647681622,1.313626253
Pomacanthus semicirculatus,2.43,2.194641057,1.324272581
Exallias brevis,2.43,2.199616895,1.328763074
Ptereleotris heteroptera,1.86,1.782602458,1.385131422
Paracanthurus hepatus,2.00,2.142836226,1.518576518
Echidna nebulosa,1.57,1.647681622,1.568536837
Arothron nigropunctatus,1.43,1.80134844,1.763957788
